Dates,BTC Index,ETH Index,BGCI Index,FSTOK10 Index,FSTOK40 Index,SOBLCRTA Index,HODL5 Index
03/08/2017,312.12,347.91,209.48,69.06,73.591,1500.64,1070.33
04/08/2017,317.79,341.63,204.59,70.143,74.426,1521.96,1084.32
07/08/2017,374.94,417.13,234.29,81.33,86.873,1529.4,1259.16
08/08/2017,386.85,457.86,250.77,84.744,88.157,1531.05,1288.26
09/08/2017,377.23,455.01,242.61,83.218,88.899,1526.81,1269.29
10/08/2017,384.28,458.08,242.52,83.685,96.1,1491.33,1326.24
11/08/2017,402.63,477.95,251.49,88.545,96.247,1484.96,1321.95
14/08/2017,478.37,461.56,258.59,96.284,98.95,1515.57,1436.52
15/08/2017,456.9,442.65,247.6,93.033,100.642,1529.49,1353.84
16/08/2017,488.18,465.35,259.29,96.99,100.129,1530.36,1444.5
17/08/2017,485.91,464.94,264.47,96.048,94.888,1501.86,1456.01
18/08/2017,451.41,454.34,267.56,93.298,91.763,1500.46,1428.76
21/08/2017,448.63,494.96,283.99,95.124,93.476,1488.75,1435.68
22/08/2017,457.05,486.34,300.52,97.643,94.929,1515.57,1432.08
23/08/2017,463.94,488.36,307.54,99.129,99.74,1511.73,1579.49
24/08/2017,475.12,502.51,298.83,101.469,104.532,1510.17,1580.42
25/08/2017,485.78,509.46,303.83,102.824,103.275,1498.19,1578.37
28/08/2017,486.98,537.49,313.99,105.779,113.372,1489.05,1559.99
29/08/2017,515.86,577.34,322.11,110.044,110.563,1480.32,1665.42
30/08/2017,513.38,594.39,329.62,110.95,114.57,1507.98,1691.27
31/08/2017,532.05,599.29,345.49,114.949,117.029,1522.19,1745.33
01/09/2017,547.71,604.55,353.86,118.909,121.223,1527.35,1797.62
04/09/2017,547.71,604.55,353.86,98.215,94.299,1523.7,1476.76
05/09/2017,500.3,492.03,303.55,102.561,102.299,1504.7,1509.97
06/09/2017,512.74,521.02,322.13,108.593,108.832,1506.82,1669.55
07/09/2017,513.44,518.31,321.43,107.869,114.575,1501.12,1684.66
08/09/2017,476.64,472.74,295.87,98.696,101.128,1494.49,1570.99
11/09/2017,470.46,460.08,289.58,97.298,96.809,1523.96,1517.2
12/09/2017,469.05,457.04,286.39,96.406,94.961,1530.79,1522.88
13/09/2017,437.41,429.59,268.97,91.137,88.535,1528.76,1362.11
14/09/2017,380.55,350.17,224.73,72.28,68.358,1539.51,1239.59
15/09/2017,417.74,402.84,249.76,83.638,80.913,1533.63,1307.56
18/09/2017,449.6,457.59,271.95,94.268,91.04,1546.19,1417.66
19/09/2017,438.26,437.6,264.87,90.964,85.089,1554,1413.05
20/09/2017,444.04,442.26,264,90.681,84.58,1558.54,1408.5
21/09/2017,409.3,399.67,241.36,83.871,75.16,1561.2,1315.57
22/09/2017,405.67,404.64,242.09,84.599,76.63,1558.64,1231.73
25/09/2017,442.27,455.96,265.51,91.639,88.645,1540.75,1388.83
26/09/2017,438.56,446.65,264.89,90.889,89.537,1550.73,1385.35
27/09/2017,466.17,479.6,284.4,97.857,98.874,1575.63,1447.33
28/09/2017,467.32,467.47,280.17,96.501,96.6,1575.96,1452.42
29/09/2017,468.08,452.44,274.03,95.435,94.466,1582.33,1447.02
02/10/2017,492.78,458.57,279.1,99.376,96.091,1599.98,1483.53
03/10/2017,480.67,451.22,274.01,97.483,93.868,1599.98,1454.21
04/10/2017,471.35,451.07,272.48,96.46,91.499,1605.5,1444.97
05/10/2017,487.81,457.81,284.51,98.837,91.844,1624.69,1485.09
06/10/2017,486.95,474.58,286.64,100.339,93.497,1618.52,1513.84
09/10/2017,543.26,459.67,293.25,104.764,84.951,1626.47,1575.8
10/10/2017,546.84,462.23,298.34,105.509,88.413,1625.13,1593.91
11/10/2017,541.64,469.24,300.39,106.602,92.007,1634.33,1596.08
12/10/2017,596.7,470.55,307.92,114.724,89.662,1642.72,1689.55
13/10/2017,630.05,523.74,327.29,120.902,91.037,1646.43,1810.09
16/10/2017,637.24,518.66,327.98,121.545,96.562,1654.91,1832.37
17/10/2017,625.86,484.65,312.08,117.714,96.572,1655.95,1758.78
18/10/2017,617.97,484.16,306.41,116.762,95.523,1660.96,1658.99
19/10/2017,639.65,476.74,307.12,117.597,94.163,1642.92,1720.56
20/10/2017,670.28,468.67,309.09,121.116,91.806,1664.88,1770.38
23/10/2017,663.32,439.92,295.34,117.747,88.336,1665.43,1666.23
24/10/2017,627.68,458.66,297.8,113.919,94.724,1669.69,1707.93
25/10/2017,637.33,458.15,298.62,116.781,95.704,1642.19,1643.19
26/10/2017,655.59,457.49,302.15,118.636,93.627,1667.21,1736.96
27/10/2017,645.65,458.15,301.46,116.963,93.354,1705.86,1701.07
30/10/2017,684.47,474.84,317.04,122.626,94.701,1693.41,1796.54
31/10/2017,715.65,469.69,319.98,126.809,93.036,1693.41,1844.66
01/11/2017,738.38,447.03,322.18,129.179,88.542,1699.65,1859.32
02/11/2017,791.99,440.88,333.6,133.337,88.299,1691.66,1898.57
03/11/2017,811.16,471.09,350.52,137.183,91.332,1709.48,2026.58
06/11/2017,799.8,459.3,342.23,134.271,91.152,1724.76,1993
07/11/2017,793.9,452.1,343.81,136.081,93.668,1718.69,1943.67
08/11/2017,814.75,476.22,359.49,142.499,102.628,1714.47,2055.2
09/11/2017,799.03,495.92,364.87,139.609,109.428,1701.07,2059.57
10/11/2017,738.58,460.32,361.4,129.82,96.622,1706.31,2015.87
13/11/2017,730.14,487.04,390.59,131.695,97.181,1708.4,2055.9
14/11/2017,739.6,518.35,397.91,134.866,102.032,1700.31,2127.53
