,SPX Index,LUATTRUU Index,BCOMGC Index,BCOMCO Index,FNER Index,BGCI Index
02/08/2017,2477.57,2197.82,155.3747,217.4827,677.61,207.15
03/08/2017,2472.16,2202.33,154.8886,215.7408,675.7,209.48
04/08/2017,2476.83,2197.63,153.6975,217.5656,677.9,204.59
07/08/2017,2480.91,2199.13,153.7097,217.3997,677.2,234.29
08/08/2017,2474.92,2196.16,153.4544,216.4458,673.44,250.77
09/08/2017,2474.02,2201.81,155.4841,218.3536,672.11,242.61
10/08/2017,2438.21,2204.99,156.7967,214.7455,667.27,242.52
11/08/2017,2441.32,2207.97,157.2707,215.409,663.57,251.49
14/08/2017,2465.84,2205.21,156.8332,209.9761,674.87,258.59
15/08/2017,2464.61,2199.85,155.5327,209.9761,672.13,247.6
16/08/2017,2468.11,2204.52,155.9217,207.7781,674.87,259.29
17/08/2017,2430.01,2207.77,157.0763,210.4738,670.3,264.47
18/08/2017,2425.55,2208.21,156.979,217.3582,664.9,267.56
21/08/2017,2428.37,2210.44,157.5989,212.6718,671.73,283.99
22/08/2017,2452.51,2206.67,156.9061,213.916,670.83,300.52
23/08/2017,2444.04,2211.74,157.3558,216.6532,676.71,307.54
24/08/2017,2438.97,2209.01,157.0277,214.2478,675.56,298.83
25/08/2017,2443.05,2211.28,157.7447,215.5749,678.87,303.83
28/08/2017,2444.24,2212.67,159.8595,213.2524,675.18,313.99
29/08/2017,2446.3,2214.85,160.297,214.2478,674.38,322.11
30/08/2017,2457.59,2213.95,159.7137,210.3908,678.47,329.62
31/08/2017,2471.65,2216.75,160.6981,219.2245,682.61,345.49
01/09/2017,2476.55,2211.94,161.6947,218.7683,683.14,353.86
04/09/2017,2476.55,2211.94,161.6947,218.7683,683.14,353.86
05/09/2017,2457.85,2223.34,163.4084,221.3811,681.97,303.55
06/09/2017,2465.54,2218.79,162.74,224.7818,683.24,322.13
07/09/2017,2465.1,2225.03,164.1133,225.9846,687.08,321.43
08/09/2017,2461.43,2224.89,164.2227,223.04,687.18,295.87
11/09/2017,2488.11,2217.36,162.3389,223.3805,692.44,289.58
12/09/2017,2496.48,2212.55,161.9743,224.9511,684.7,286.39
13/09/2017,2498.37,2209.85,161.403,228.429,682.46,268.97
14/09/2017,2495.62,2209.84,161.561,229.854,686.51,224.73
15/09/2017,2500.23,2209.3,161.0627,230.7302,688.23,249.76
18/09/2017,2503.87,2206.15,159.3126,229.8123,685.11,271.95
19/09/2017,2506.65,2204.98,159.2883,228.3103,679.18,264.87
20/09/2017,2508.24,2201.35,159.9932,232.3157,677.33,264
21/09/2017,2500.6,2202.08,157.368,232.8998,675.25,241.36
22/09/2017,2502.22,2203.87,157.6961,234.0681,670.9,242.09
25/09/2017,2496.66,2209.05,159.3977,242.1207,674.31,265.51
26/09/2017,2496.84,2207.66,158.2066,240.41,674.3,264.89
27/09/2017,2507.04,2197.99,156.5172,239.2835,669.18,284.4
28/09/2017,2510.06,2198.83,156.6266,237.4894,672.65,280.17
29/09/2017,2519.36,2197.75,156.1526,236.1125,673.2,274.03
02/10/2017,2529.12,2196.82,155.0587,233.1919,671.72,279.1
03/10/2017,2534.58,2197.24,154.9129,232.7329,671.69,274.01
04/10/2017,2537.74,2196.98,155.1803,231.9819,676.13,272.48
05/10/2017,2552.07,2194.68,154.7427,236.6132,678.25,284.51
06/10/2017,2549.33,2192.67,154.9493,230.9806,676.12,286.64
09/10/2017,2544.73,2192.67,156.1769,231.7316,677.26,293.25
10/10/2017,2550.64,2196.32,157.2464,235.1529,678.66,298.34
11/10/2017,2555.24,2196.17,156.6509,236.6967,681.66,300.39
12/10/2017,2550.93,2198.55,157.5746,233.9429,685.72,307.92
13/10/2017,2553.17,2203.59,158.559,237.6146,686.96,327.29
16/10/2017,2557.64,2200.32,158.3646,240.1597,684.06,327.98
17/10/2017,2559.36,2201.66,156.3227,240.0762,684.48,312.08
18/10/2017,2561.26,2196.68,155.9338,241.1611,683.57,306.41
19/10/2017,2562.1,2199.25,156.7846,237.7397,682.34,307.12
20/10/2017,2575.21,2192.05,155.63,240.2431,679.96,309.09
23/10/2017,2564.98,2193.52,155.6786,238.9497,676.8,295.34
24/10/2017,2569.13,2190.32,155.3626,242.7048,673.23,297.8
25/10/2017,2557.15,2186.34,155.4477,242.9552,671.08,298.62
26/10/2017,2560.4,2185.31,154.3052,246.3348,667.29,302.15
27/10/2017,2581.07,2188.43,154.5726,250.8826,670.36,301.46
30/10/2017,2572.83,2195.34,155.2897,252.8019,671.61,317.04
31/10/2017,2575.26,2195.09,154.4146,254.2622,672.93,319.98
01/11/2017,2579.36,2195.25,155.241,252.3846,673.76,322.18
02/11/2017,2579.85,2198.97,155.3383,252.927,679.5,333.6
03/11/2017,2587.84,2199.27,154.2566,258.9769,678.07,350.52
06/11/2017,2591.13,2202.53,155.7637,268.1561,686.32,342.23
07/11/2017,2590.64,2204.58,155.0587,265.7361,691.64,343.81
08/11/2017,2594.38,2202.49,156.0182,264.9087,695.94,359.49
09/11/2017,2584.62,2200.91,156.4795,266.8003,695.95,364.87
10/11/2017,2582.3,2192.66,154.8662,265.4342,696.05,361.4
13/11/2017,2584.84,2192.49,155.4456,264.2932,698.17,390.59
14/11/2017,2578.87,2195.01,155.9302,259.6764,696.93,397.91
15/11/2017,2564.62,2200.6,155.3003,258.4172,690.57,404.94
16/11/2017,2585.64,2197.32,155.3609,256.5705,694.37,404.51
17/11/2017,2578.85,2198.09,157.5775,261.6071,691.19,417.76
20/11/2017,2582.14,2196.57,155.0096,259.6344,689.54,452.21
21/11/2017,2599.03,2197.65,155.7969,260.5997,694.47,440.13
22/11/2017,2597.08,2202.36,157.0809,263.2439,692.58,461.54
23/11/2017,2597.08,2202.36,157.0809,263.2439,692.58,461.54
24/11/2017,2602.42,2200.4,156.4752,265.1746,694.56,510.6
27/11/2017,2601.42,2201.55,157.3353,264.7969,692.01,545
28/11/2017,2627.04,2200.85,157.3716,264.3772,689.82,556.13
29/11/2017,2626.07,2196,155.7969,261.2293,689.06,518.58
30/11/2017,2647.58,2192.07,154.6462,261.649,689.25,517.28
01/12/2017,2642.22,2199.23,155.3245,266.3498,690.49,563.26
04/12/2017,2639.44,2196.95,154.7673,261.2293,684.39,582.42
05/12/2017,2629.57,2199.53,153.2169,262.9082,680.04,575.02
06/12/2017,2629.27,2202.52,153.3622,256.1508,679.95,575.58
07/12/2017,2636.98,2197.14,151.7875,260.0121,682.62,607.04
08/12/2017,2651.5,2197.26,151.2182,264.545,685.08,636.32
11/12/2017,2659.99,2197.17,151.0365,268.6163,685.58,705.74
12/12/2017,2664.11,2195.74,150.4067,263.2859,688.33,823.85
13/12/2017,2662.85,2202.83,151.2424,259.4246,689.45,868.6
14/12/2017,2652.01,2203.57,152.272,262.9921,688.66,1014.44
15/12/2017,2675.81,2203.19,152.3205,262.9501,691.71,988.4
18/12/2017,2690.16,2199.05,153.2895,264.0414,695.09,1089.02
19/12/2017,2681.47,2190.42,153.1321,266.098,681.41,1085.31
20/12/2017,2679.25,2185.77,153.7862,269.0779,673.73,1128.84
21/12/2017,2684.57,2188.46,153.9073,270.421,671.48,1193.71
22/12/2017,2683.34,2187.54,154.9006,271.6802,675.75,1049.97
25/12/2017,2683.34,2187.54,154.9006,271.6802,675.75,1049.97
26/12/2017,2680.5,2190.59,155.9544,278.9412,679.14,1156.01
27/12/2017,2682.62,2197.55,156.4268,276.9686,681.65,1179.91
28/12/2017,2687.54,2195.94,157.1293,277.6821,684.01,1140.48
29/12/2017,2673.61,2198.84,158.595,280.662,683.05,1381.41
01/01/2018,2673.61,2198.84,158.595,280.662,683.05,1381.41
02/01/2018,2695.81,2191.86,159.4187,279.4029,679.73,1503.59
03/01/2018,2713.06,2194.05,159.7094,284.7332,678.95,1653.48
04/01/2018,2723.99,2192.87,160.0849,285.6986,667.37,1638.93
05/01/2018,2743.15,2190.18,160.1697,283.8099,668.53,1650.2
08/01/2018,2747.71,2190.21,159.9396,284.4814,672.07,1667.36
09/01/2018,2751.29,2183.12,159.1286,288.8332,664.05,1636.62
10/01/2018,2748.23,2182.57,159.8059,290.4512,655.28,1651.62
11/01/2018,2767.56,2185.26,160.1927,290.6081,652.47,1518.63
12/01/2018,2786.24,2184.14,161.7,293.1936,647.43,1619.33
15/01/2018,2786.24,2184.14,161.7,293.1936,647.43,1619.33
16/01/2018,2776.42,2185.5,161.9655,290.9408,649.64,1157.04
17/01/2018,2802.56,2182.1,162.2069,291.7909,654.31,1237.49
18/01/2018,2798.03,2178.47,160.7586,291.5359,647.23,1290.4
19/01/2018,2810.3,2175.48,161.4828,288.6031,651.65,1284.96
22/01/2018,2832.97,2173.36,161.35,290.1333,657.82,1173.34
23/01/2018,2839.13,2177.64,161.9293,293.9161,666.67,1204.22
24/01/2018,2837.54,2173.76,164.3069,295.8288,664.02,1246.39
25/01/2018,2839.25,2178.67,165.1035,295.8288,663.39,1238.77
26/01/2018,2872.87,2173.59,163.8,296.6789,662.83,1200.41
29/01/2018,2853.53,2170.51,162.3397,293.0235,654.27,1279.84
30/01/2018,2822.43,2167.53,161.7241,289.9207,650.12,1145.68
31/01/2018,2823.81,2168.97,162.0983,291.4509,662.09,1163.59
01/02/2018,2821.98,2162.57,162.6776,294.7662,649.71,1047.52
02/02/2018,2762.13,2154.07,161.3983,290.2183,643.42,960.39
05/02/2018,2648.94,2161.1,161.3017,285.9679,625.01,773.93
06/02/2018,2695.14,2163.59,160.4569,282.5675,624.34,848.42
07/02/2018,2681.66,2155.23,158.6586,276.9145,621.68,871.08
08/02/2018,2581,2153.75,159.1897,274.1092,602.55,896.64
09/02/2018,2619.55,2156.88,158.7914,265.5659,616.6,962.57
12/02/2018,2656,2154.68,160.0828,264.9283,617.45,1002.62
13/02/2018,2662.94,2155.58,160.5655,265.3959,620.66,969.17
14/02/2018,2698.63,2146.86,163.8966,272.1115,616.74,1070.57
15/02/2018,2731.2,2149.43,163.5707,272.0265,623.2,1090.51
