,SPX Index,LUATTRUU Index,BCOMGC Index,BCOMCO Index,FNER Index,BGCI Index
11/03/2020,2741.38,2538.1,187.5308,175.7957,687.93,346.73
12/03/2020,2480.64,2531.45,181.5837,167.5886,619.8,257.88
13/03/2020,2711.02,2512.58,173.1838,168.0456,674.03,241.61
16/03/2020,2386.13,2554.81,169.662,151.5473,552.55,217.82
17/03/2020,2529.19,2511.84,174.164,145.9259,587.96,233.11
18/03/2020,2398.1,2465.95,168.7502,129.3819,531.48,231.4
19/03/2020,2409.39,2491.25,168.944,145.3775,533.02,266.69
20/03/2020,2304.92,2519.92,169.605,139.9847,509.73,256.83
23/03/2020,2237.4,2554.85,179.2472,142.6354,483.48,264.25
24/03/2020,2447.33,2549.87,189.5733,145.9716,527.13,278.82
25/03/2020,2475.56,2544.26,186.2681,148.8051,554.11,271.41
26/03/2020,2630.07,2551.96,189.2314,143.001,593.34,274.68
27/03/2020,2541.47,2562.64,188.5247,141.2643,593.43,280.48
30/03/2020,2626.65,2571.72,187.2824,136.1,604.77,271.39
31/03/2020,2584.59,2564.12,181.9712,135.5516,590.87,274.86
01/04/2020,2470.5,2574.14,181.3786,128.1479,551.27,265.12
02/04/2020,2526.9,2576.4,186.6556,146.7029,554.06,283.87
03/04/2020,2488.65,2582.96,187.5674,162.1501,546.02,287.36
06/04/2020,2663.68,2570.62,193.0609,159.4537,586.86,317.25
07/04/2020,2659.41,2563.5,191.8984,157.6256,590.88,317.16
08/04/2020,2749.98,2561.07,191.9668,160.5048,631.47,326.04
09/04/2020,2789.82,2566.62,199.774,156.2088,667.55,321.22
10/04/2020,2789.82,2566.62,199.774,156.2088,667.55,321.22
13/04/2020,2761.63,2561.9,200.7542,159.5451,637.82,296.88
14/04/2020,2846.06,2561.18,201.609,153.421,657.14,301.4
15/04/2020,2783.36,2580.72,198.3379,143.6865,630.14,295.92
16/04/2020,2799.55,2587.5,197.3691,144.1893,622.83,312.11
17/04/2020,2874.56,2576.64,193.6194,144.3264,642.83,313.71
20/04/2020,2823.16,2582.92,195.0327,133.495,618.3,301.74
21/04/2020,2736.56,2592.24,192.3657,105.6626,607.53,306.62
22/04/2020,2799.31,2584.16,198.1214,109.9586,617.85,319.5
23/04/2020,2797.8,2585.36,198.9306,113.2948,611.58,334.19
24/04/2020,2836.74,2588.02,197.8136,113.3862,613.89,333.72
27/04/2020,2878.48,2577.59,196.4688,105.4341,634.91,338.82
28/04/2020,2863.39,2584.76,196.2864,103.9259,640.42,345.54
29/04/2020,2939.51,2581.74,195.2834,110.7355,649.16,381.34
30/04/2020,2912.43,2580.43,193.0951,121.0184,641.84,373.41
01/05/2020,2830.71,2578.48,193.8587,120.8356,619.63,370.53
04/05/2020,2842.74,2578.16,195.272,124.309,617.51,369.17
05/05/2020,2868.44,2574.09,194.9643,141.5386,620.43,369.33
06/05/2020,2848.42,2564.38,192.4455,135.8258,609.38,373.29
07/05/2020,2881.19,2579.67,196.6967,134.6376,617.59,389.86
08/05/2020,2929.8,2570.83,195.4057,141.7456,632.37,390.75
11/05/2020,2930.32,2562.74,193.6256,135.5064,623.24,343.05
12/05/2020,2870.12,2571.19,194.4337,136.2017,594.58,348
13/05/2020,2820,2577.37,195.5219,132.4827,581.12,360.56
14/05/2020,2852.5,2584.48,198.3751,138.9063,582.79,371.56
15/05/2020,2863.7,2581.35,200.1753,143.4762,580.21,359.29
18/05/2020,2953.91,2563.24,197.7637,153.0039,614.29,378.01
19/05/2020,2922.94,2567.32,199.0318,152.7021,605.7,376.18
20/05/2020,2971.61,2572.69,199.9036,157.2289,610.93,371.46
21/05/2020,2948.51,2572.77,196.6541,158.7809,610.25,353.52
22/05/2020,2955.45,2575.8,198.5336,155.8062,619.68,364.18
25/05/2020,2955.45,2575.8,198.5336,155.8062,619.68,364.18
26/05/2020,2991.77,2567.94,195.6691,160.3329,642.43,351.71
27/05/2020,3036.13,2569.45,195.5106,154.9439,655.04,362.78
28/05/2020,3029.73,2564.21,195.6804,157.3582,658.49,372.39
29/05/2020,3044.31,2573.89,198.3298,164.5579,651.58,374.02
01/06/2020,3055.73,2568.98,198.1713,165.6788,666.87,391.35
02/06/2020,3080.82,2565.78,196.3258,170.9815,671.39,387.49
03/06/2020,3122.87,2554.3,193.0197,172.318,692.39,392.48
04/06/2020,3112.35,2545,195.5785,173.1802,684.84,396.21
05/06/2020,3193.93,2534.76,190.5515,182.8804,709.94,397.92
08/06/2020,3232.39,2538.46,193.0537,176.7585,727.52,395.33
09/06/2020,3207.18,2548.58,194.9558,178.9572,716.34,395.17
10/06/2020,3190.14,2559.78,194.8199,180.811,697.96,401.51
11/06/2020,3002.1,2574.83,196.9825,167.6188,653.6,372.88
12/06/2020,3041.31,2567.71,196.6994,168.0499,676.79,381.97
15/06/2020,3066.59,2567.91,195.5559,172.1456,685.44,377.68
16/06/2020,3124.74,2557.72,196.6088,177.319,699.42,379.34
17/06/2020,3113.49,2560.35,196.5069,175.767,689.09,373.91
18/06/2020,3115.34,2567.62,195.9974,178.7848,680.8,375.8
19/06/2020,3097.74,2566.67,198.477,181.6733,671.45,371.48
22/06/2020,3117.86,2567.02,199.9942,185.6827,670.27,385.68
23/06/2020,3131.29,2564.96,201.7604,184.2169,667.29,387.2
24/06/2020,3050.33,2570.29,200.9792,174.7323,649.31,372.37
25/06/2020,3083.76,2573.24,200.4697,177.2759,657.16,372.07
26/06/2020,3009.05,2579.69,201.5679,176.4567,644.26,369.44
29/06/2020,3053.24,2579.1,201.6698,180.423,655.15,362.38
30/06/2020,3100.29,2576.3,203.855,177.9225,663.15,360.26
01/07/2020,3115.86,2572.51,201.5226,181.199,679.13,365.64
02/07/2020,3130.01,2573.5,202.6662,185.9845,676.11,357.44
03/07/2020,3130.01,2573.5,202.6662,185.9845,676.11,357.44
06/07/2020,3179.72,2572.13,203.0625,185.812,675.83,378.07
07/07/2020,3145.32,2578.81,204.9193,185.7258,662.6,374.52
08/07/2020,3169.94,2578.88,206.1308,186.6311,661.61,393.4
09/07/2020,3152.05,2588.8,204.2281,182.6284,657.52,382.93
10/07/2020,3185.04,2584.9,204.0009,186.5031,660.07,383.44
13/07/2020,3155.22,2584.21,205.3822,184.3768,651.73,379.26
14/07/2020,3197.52,2589.15,205.1698,185.1125,657.31,383.36
15/07/2020,3226.56,2585.68,205.181,188.1429,663.28,378.43
16/07/2020,3215.57,2589.68,203.4986,186.4356,654.77,371.37
17/07/2020,3224.73,2586.18,204.3008,185.7954,663.99,373.64
20/07/2020,3251.84,2587.71,205.0139,186.521,655.75,375.1
21/07/2020,3257.3,2589.26,208.3006,191.1307,657.43,386.22
22/07/2020,3276.02,2591.78,210.8631,191.2587,668.13,387.59
23/07/2020,3235.66,2596.2,213.6262,187.5881,664.5,408.58
24/07/2020,3215.63,2596.69,214.4952,188.4844,659.82,411.23
27/07/2020,3239.41,2594.49,217.86,189.2527,667.1,462.37
28/07/2020,3218.44,2599.49,218.807,187.9295,680.68,473.56
29/07/2020,3258.44,2598.21,220.2331,189.7649,693.77,482.2
30/07/2020,3246.22,2605.11,219.1301,186.0515,689.01,491.15
31/07/2020,3271.12,2605.74,221.2581,187.1612,687.53,502.5
03/08/2020,3294.61,2600.39,221.3027,190.0636,678.77,551.07
04/08/2020,3306.51,2608.62,225.1687,191.3868,688.86,535.68
05/08/2020,3327.77,2604.23,228.3218,194.5026,685.3,550.12
06/08/2020,3349.16,2606.4,230.5612,194.0331,686.37,558.07
07/08/2020,3351.28,2601.81,225.9486,191.088,695.81,531.25
10/08/2020,3360.47,2599.57,227.2522,193.7343,695.89,549.37
11/08/2020,3333.69,2584.64,216.8461,192.027,684.8,524.14
12/08/2020,3380.35,2582.43,217.1469,195.9538,692.37,530.64
13/08/2020,3373.43,2574.91,219.5312,193.905,682.95,531.59
14/08/2020,3372.85,2575.13,217.236,193.4782,683,572.61
17/08/2020,3381.99,2578.15,222.6842,195.9964,689.42,597.06
18/08/2020,3389.78,2581.3,224.2886,196.3806,685.89,576.95
19/08/2020,3374.85,2579.55,219.52,195.8257,672.53,541.56
20/08/2020,3385.51,2584.78,216.8684,194.1184,679.91,558.61
21/08/2020,3397.16,2586.61,216.9241,191.7709,680.42,544.16
24/08/2020,3431.28,2586.67,216.055,194.8013,684.63,548.88
25/08/2020,3443.62,2581.33,214.2613,197.5757,685.96,520.37
26/08/2020,3478.73,2579.18,217.5369,197.0208,679.65,528.63
