,SPX Index,LUATTRUU Index,BCOMGC Index,BCOMCO Index,FNER Index,BGCI Index
05/05/2023,4136.25,2267.61,213.2529,431.29,713.91,1311.31
08/05/2023,4138.12,2256.93,214.1401,441.0983,709.92,1202.26
09/05/2023,4119.17,2254.47,215.1536,443.7061,706.53,1212.07
10/05/2023,4137.64,2266.82,214.5399,437.9895,713.01,1218.71
11/05/2023,4130.62,2273.02,212.8049,429.2037,705.35,1177.22
12/05/2023,4124.08,2263.93,212.7215,424.0722,705.48,1171.4
15/05/2023,4136.28,2259.07,213.0344,430.6451,703.78,1210.62
16/05/2023,4109.9,2254.07,209.9152,428.9731,685.73,1195.87
17/05/2023,4158.77,2248.66,209.0285,441.1388,694.57,1218.53
18/05/2023,4198.05,2238.3,206.3787,435.7767,690.04,1189.78
19/05/2023,4191.98,2232.13,208.6738,433.528,688.88,1195.6
22/05/2023,4192.63,2230.01,208.1939,435.719,693.05,1193.6
23/05/2023,4145.58,2231.92,207.8914,440.8505,686.37,1210.49
24/05/2023,4115.24,2226.93,206.8795,449.3262,671.74,1171.24
25/05/2023,4151.28,2216.98,204.7096,437.6794,671.4,1179.34
26/05/2023,4205.45,2215.69,204.793,442.5803,679.09,1195.93
29/05/2023,4205.45,2215.69,204.793,442.5803,679.09,1195.93
30/05/2023,4205.52,2232.5,206.2535,424.0145,681.7,1241.99
31/05/2023,4179.83,2239.92,206.7751,417.9604,685.6,1211.47
01/06/2023,4221.02,2244.81,208.173,427.8776,685.52,1208.26
02/06/2023,4282.37,2231.9,205.4711,438.0253,701.74,1230.9
05/06/2023,4273.79,2232.47,205.9614,440.9082,697.04,1157.52
06/06/2023,4283.85,2233.79,206.7126,438.7172,703.34,1208.77
07/06/2023,4267.52,2222.51,204.3027,443.0415,716.09,1168.42
08/06/2023,4293.93,2232.29,206.41,437.2758,711.46,1168.46
09/06/2023,4298.86,2227.75,206.264,430.9334,707.28,1149
12/06/2023,4338.93,2231.1,205.4816,414.0974,707.46,1081.33
13/06/2023,4369.01,2219.97,204.3236,427.8776,711.59,1086.69
14/06/2023,4372.59,2222.72,205.3981,421.8812,713.53,1086.92
15/06/2023,4425.84,2233.09,205.5859,436.2379,716.1,1053.07
16/06/2023,4409.59,2227.36,205.638,441.5424,716.11,1084.48
19/06/2023,4409.59,2227.36,205.638,441.5424,716.11,1084.48
20/06/2023,4388.71,2233.04,203.1865,437.5641,707,1131.96
21/06/2023,4365.69,2234.53,202.8944,444.7713,702.63,1204.76
22/06/2023,4381.89,2224.28,200.6828,428.6848,692.14,1210.62
23/06/2023,4348.33,2231.48,201.2983,426.7244,682.51,1233.83
